codigo,nome
R20.1,Hipoestesia cutânea
R20.2,Parestesias cutâneas
R20.3,Hiperestesia
R20.8,Outros distúrbios e os não especificadas da sensibilidade cutânea
R21,Eritema e outras erupções cutâneas não especificadas
R22,"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo"
R22.0,"Tumefação, massa ou tumoração localizadas da cabeça"
R22.1,"Tumefação, massa ou tumoração localizadas do pescoço"
R22.2,"Tumefação, massa ou tumoração localizadas do tronco"
R22.3,"Tumefação, massa ou tumoração localizadas de membro superior"
R22.4,"Tumefação, massa ou tumoração localizadas no membro inferior"
R22.7,"Tumefação, massa ou tumoração localizadas de múltiplas localizações"
R22.9,"Tumefação, massa ou tumoração não especificadas, localizadas"
R23,Outras alterações cutâneas
R23.0,Cianose
R23.1,Palidez
R23.2,Rubor
R23.3,Equimoses espontâneas
R23.4,Alterações na textura da pele
R23.8,Outras alterações da pele e as não especificadas
R25,Movimentos involuntários anormais
R25.0,Movimentos anormais da cabeça
R25.1,Tremor não especificado
R25.2,Cãibras e espasmos
R25.3,Fasciculação
R25.8,Outros movimentos involuntários anormais e os não especificados
R26,Anormalidades da marcha e da mobilidade
R26.0,Marcha atáxica
R26.1,Marcha paralítica
R26.2,Dificuldade para andar não classificada em outra parte
R26.8,Outras anormalidades da marcha e da mobilidade e as não especificadas
R27,Outros distúrbios da coordenação
R27.0,Ataxia não especificada
R27.8,Outros distúrbios da coordenação e os não especificados
R29,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular
R29.0,Tetania
R29.1,Meningismo
R29.2,Reflexos anormais
R29.3,Postura anormal
R29.4,Quadril estalante
R29.6,"Tendência a queda, não classificada em outra parte"
R29.8,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular e os não especificados
R30,Dor associada à micção
R30.0,Disúria
R30.1,Tenesmo vesical
R30.9,"Micção dolorosa, não especificada"
R31,Hematúria não especificada
R32,Incontinência urinária não especificada
R33,Retenção urinária
R34,Anúria e oligúria
R35,Poliúria
R36,Secreção uretral
R39,Outros sintomas e sinais relativos ao aparelho urinário
R39.0,Extravasamento de urina
R39.1,Outras dificuldades à micção
R39.2,Uremia extra-renal
R39.8,Outros sintomas e sinais relativos ao aparelho urinário e os não especificados
R40,"Sonolência, estupor e coma"
R40.0,Sonolência
R40.1,Estupor
R40.2,Coma não especificado
R41,Outros sintomas e sinais relativos à função cognitiva e à consciência
R41.0,Desorientação não especificada
R41.1,Amnésia anterógrada
R41.2,Amnésia retrógrada
R41.3,Outra amnésia
R41.8,Outros sintomas e sinais especificados relativos às funções cognitivas e à consciência
R42,Tontura e instabilidade
R43,Distúrbios do olfato e do paladar
R43.0,Anosmia
R43.1,Parosmia
R43.2,Parageusia
R43.8,Outros distúrbios do olfato e do paladar e os não especificados
R44,Outros sintomas e sinais relativos às sensações e às percepções gerais
R44.0,Alucinações auditivas
R44.1,Alucinações visuais
R44.2,Outras alucinações
R44.3,Alucinações não especificadas
R44.8,Outros sintomas e sinais especificados relativos às sensações e percepções gerais
R45,Sintomas e sinais relativos ao estado emocional
R45.0,Nervosismo
R45.1,Agitação e inquietação
R45.2,Tristeza
R45.3,Apatia e desinteresse
R45.4,Irritabilidade e mau humor
R45.5,Hostilidade
R45.6,Violência física
R45.7,"Estado de choque emocional e tensão, não especificado"
R45.8,Outros sintomas e sinais relativos ao estado emocional
R46,Sintomas e sinais relativos à aparência e ao comportamento
R46.0,Baixo nível de higiene pessoal
R46.1,Aparência pessoal bizarra
R46.2,Comportamento estranho e inexplicável
R46.3,Hiperatividade
R46.4,Lentidão e baixa reatividade
R46.5,Personalidade suspeita e evasiva
R46.6,"Inquietação e preocupação exageradas com acontecimentos ""estressantes"""
R46.7,Verborragia e pormenores circunstanciais mascarando o motivo da consulta
R46.8,Outros sintomas e sinais relativos à aparência e ao comportamento
R47,Distúrbios da fala não classificados em outra parte
R47.0,Disfasia e afasia
R47.1,Disartria e anartria
R47.8,Outros distúrbios da fala e os não especificados
R48,"Dislexia e outras disfunções simbólicas, não classificadas em outra parte"
R48.0,Dislexia e alexia
R48.1,Agnosia
R48.2,Apraxia
R48.8,Outras disfunções simbólicas e as não especificadas
R49,Distúrbios da voz
R49.0,Disfonia
R49.1,Afonia
R49.2,Hipernasalidade e hiponasalidade
R49.8,Outros distúrbios da voz e os não especificados
R50,Febre de origem desconhecida e de outras origens
R50.2,Febre induzida por drogas
R50.8,Outra febre especificada
R50.9,Febre não especificada
R51,Cefaléia
R52,Dor não classificada em outra parte
R52.0,Dor aguda
R52.1,Dor crônica intratável
R52.2,Outra dor crônica
R52.9,Dor não especificada
R53,"Mal estar, fadiga"
R54,Senilidade
R55,Síncope e colapso
R56,"Convulsões, não classificadas em outra parte"
R56.0,Convulsões febris
R56.8,Outras convulsões e as não especificadas
R57,Choque não classificado em outra parte
R57.0,Choque cardiogênico
R57.1,Choque hipovolêmico
R57.8,Outras formas de choque
R57.9,Choque não especificado
R58,Hemorragia não classificada em outra parte
R59,Aumento de volume dos gânglios linfáticos
R59.0,Aumento de volume localizado de gânglios linfáticos
R59.1,Aumento de volume generalizado de gânglios linfáticos
R59.9,"Adenomegalia ou aumento de volume dos gânglios linfáticos, não especificado"
R60,Edema não classificado em outra parte
R60.0,Edema localizado
R60.1,Edema generalizado
R60.9,Edema não especificado
R61,Hiperidrose
R61.0,Hiperidrose localizada
R61.1,Hiperidrose generalizada
R61.9,Hiperidrose não especificada
R62,Retardo do desenvolvimento fisiológico normal
R62.0,Retardo de maturação
R62.8,Outras formas de retardo do desenvolvimento fisiológico normal
R62.9,"Retardo do desenvolvimento fisiológico normal, não especificado"
R63,Sintomas e sinais relativos à ingestão de alimentos e líquidos
R63.0,Anorexia
R63.1,Polidipsia
R63.2,Polifagia
R63.3,Dificuldades de alimentação e erros na administração de alimentos
R63.4,Perda de peso anormal
R63.5,Ganho de peso anormal
R63.8,Outros sintomas e sinais relativos a ingestão de alimentos e de líquidos
R64,Caquexia
R68,Outros sintomas e sinais gerais
R68.0,Hipotermia não associada à baixa temperatura ambiental
R68.1,Sintomas não específicos peculiares à infância
R68.2,"Boca seca, não especificada"
R68.3,Baqueteamento dos dedos
R68.8,Outros sintomas e sinais gerais especificados
R69,Causas desconhecidas e não especificadas de morbidade
R70,Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática
R70.0,Velocidade de hemossedimentação elevada
R70.1,Viscosidade plasmática anormal
R71,Anormalidade das hemácias
R72,Anormalidade dos leucócitos não classificada em outra parte
R73,Aumento da glicemia
R73.0,Teste de tolerância a glicose anormal
R73.9,Hiperglicemia não especificada
R74,Anormalidades dos níveis de enzimas séricas
R74.0,Aumento dos níveis de transaminases e da desidrogenase lática (DHL)
R74.8,Níveis anormais de outras enzimas séricas
R74.9,"Anormalidade dos níveis de enzimas séricas, não especificada"
R75,Evidência laboratorial do vírus da imunodeficiência humana [HIV]
R76,Outros achados imunológicos anormais no soro
R76.0,Título aumentado de anticorpos
R76.1,Reação anormal ao teste da tuberculina
R76.2,Exame sorológico falso positivo para sífilis
R76.8,Outros achados imunológicos especificados anormais no soro
R76.9,"Achado anormal de exame imunológico sérico, não especificado"
R77,Outras anormalidades das proteínas plasmáticas
R77.0,Anormalidade da albumina
R77.1,Anormalidade das globulinas
R77.2,Anormalidade da alfafetoproteína
R77.8,Outras anormalidades especificadas das proteínas plasmáticas
R77.9,"Anormalidades de proteína plasmática, não especificadas"
